Case ID,Age,Breed,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Conventional Treatment,Natural Remedies,Outcome
12824,15,Beagle,29,Eye infections,Fungal susceptibility,Insulin,Balanced,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Chamomile, Aloe vera gel",Recovered
12825,14,German Shepherd,36,Skin allergies,Dermatitis,Beta-blockers,Hypoallergenic,Indoor,Dry,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Tea tree oil, Turmeric, Probiotics, Calendula",Improved
12826,14,Bulldog,31,Eye infections,Fungal susceptibility,Beta-blockers,Hypoallergenic,Indoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Calendula, Coconut oil",Recovered
12827,10,Labrador,24,Skin allergies,None,None,Grain-free,Indoor,Temperate,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Coconut oil, Aloe vera gel, Turmeric",Stable
12828,9,Dachshund,21,Eye infections,None,Antihistamines,Low-sodium,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Turmeric, Tea tree oil, Probiotics, Calendula",Recovered
12829,4,Poodle,35,Allergy to Penicillin,None,Heartworm Preventative,Balanced,Indoor,Temperate,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Chamomile, Omega-3, Aloe vera gel",Recovered
12830,3,German Shepherd,39,Skin allergies,Dermatitis,Insulin,Low-sodium,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Aloe vera gel, Probiotics, Lavender oil",Recovered
12831,5,Beagle,21,Skin allergies,Dermatitis,Antihistamines,Grain-free,Active,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Turmeric, Coconut oil",Recovered
12832,5,Poodle,36,Skin allergies,None,Heartworm Preventative,Hypoallergenic,Indoor,Dry,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Coconut oil, Calendula, Turmeric, Tea tree oil",Improved
12833,8,German Shepherd,28,None,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Lavender oil, Omega-3, Aloe vera gel, Probiotics",Recovered
12834,12,Poodle,5,Eye infections,Fungal susceptibility,Antihistamines,Balanced,Active,Wet,Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Tea tree oil, Turmeric, Calendula",Stable
12835,13,Bulldog,27,Eye infections,None,Antihistamines,High-protein,Indoor,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Probiotics, Calendula, Coconut oil, Sulphur",Recovered
12836,6,German Shepherd,22,None,None,Insulin,Grain-free,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Probiotics, Aloe vera gel, Sulphur, Coconut oil",Recovered
12837,11,Golden Retriever,37,None,Dermatitis,Antihistamines,High-protein,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Probiotics, Omega-3, Lavender oil, Chamomile",Improved
12838,2,Poodle,13,Skin allergies,None,None,Low-sodium,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Coconut oil, Turmeric",Recovered
12839,9,Dachshund,8,None,Fungal susceptibility,Insulin,Hypoallergenic,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Probiotics, Calendula, Aloe vera gel, Sulphur",Recovered
12840,9,Labrador,31,Eye infections,None,Beta-blockers,High-protein,Indoor,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Omega-3, Probiotics, Aloe vera gel",Recovered
12841,11,Dachshund,29,Allergy to Penicillin,None,Heartworm Preventative,Low-sodium,Active,Dry,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Probiotics, Coconut oil",Improved
12842,1,Labrador,30,None,Dermatitis,Insulin,Grain-free,Indoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Turmeric, Probiotics, Calendula",Recovered
12843,9,Beagle,38,None,Fungal susceptibility,None,Balanced,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Omega-3, Aloe vera gel, Lavender oil",Stable
12844,3,Cocker Spaniel,20,Allergy to Penicillin,None,Beta-blockers,Grain-free,Outdoor,Humid,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Calendula, Tea tree oil, Probiotics, Coconut oil",Recovered
12845,1,Labrador,20,Eye infections,Fungal susceptibility,None,Balanced,Active,Humid,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Turmeric, Aloe vera gel, Probiotics",Improved
12846,3,Bulldog,21,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Balanced,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Fluconazole,"Calendula, Tea tree oil, Probiotics, Coconut oil",Stable
12847,5,Beagle,12,Eye infections,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Omega-3, Chamomile, Lavender oil",Recovered
12848,4,Labrador,6,Skin allergies,None,Insulin,Low-sodium,Outdoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Fluconazole,"Tea tree oil, Turmeric, Calendula, Coconut oil",Improved
12849,15,Beagle,17,Skin allergies,None,Insulin,High-protein,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Turmeric, Coconut oil",Improved
12850,2,Golden Retriever,38,None,None,Beta-blockers,High-protein,Outdoor,Temperate,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Coconut oil, Calendula",Improved
12851,11,Poodle,39,Allergy to Penicillin,None,Insulin,Grain-free,Outdoor,Cold,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Coconut oil, Sulphur, Aloe vera gel, Calendula",Stable
12852,15,Labrador,30,Allergy to Penicillin,None,Heartworm Preventative,Balanced,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Ketoconazole,"Coconut oil, Probiotics, Calendula, Tea tree oil",Improved
12853,13,Bulldog,27,Skin allergies,Dermatitis,Beta-blockers,Hypoallergenic,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Amoxicillin,"Sulphur, Probiotics, Coconut oil, Calendula",Recovered
12854,5,German Shepherd,40,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Low-sodium,Outdoor,Wet,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Probiotics, Calendula",Stable
12855,6,Chihuahua,23,Eye infections,Fungal susceptibility,Antihistamines,Balanced,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Turmeric, Aloe vera gel, Coconut oil, Probiotics",Improved
12856,14,Labrador,24,Skin allergies,Fungal susceptibility,Antihistamines,Low-sodium,Active,Temperate,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Coconut oil, Probiotics, Turmeric, Calendula",Stable
12857,5,Cocker Spaniel,18,Skin allergies,Dermatitis,Antihistamines,High-protein,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Aloe vera gel, Coconut oil, Turmeric, Calendula",Recovered
12858,10,Dachshund,14,Skin allergies,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Cold,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Omega-3, Probiotics",Stable
12859,5,German Shepherd,30,Allergy to Penicillin,Dermatitis,None,Hypoallergenic,Active,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Probiotics, Calendula, Aloe vera gel, Turmeric",Recovered
12860,4,German Shepherd,10,Eye infections,None,Insulin,Grain-free,Active,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Chamomile, Probiotics",Stable
12861,6,Poodle,16,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Grain-free,Outdoor,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Probiotics, Turmeric",Stable
12862,14,Chihuahua,37,Eye infections,Dermatitis,Antihistamines,High-protein,Outdoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Aloe vera gel, Lavender oil, Chamomile",Improved
12863,4,Labrador,12,None,Dermatitis,Heartworm Preventative,Low-sodium,Active,Cold,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Calendula, Turmeric, Tea tree oil",Recovered
12864,4,Labrador,21,None,None,None,Balanced,Indoor,Wet,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Turmeric, Aloe vera gel, Coconut oil, Calendula",Stable
12865,13,Beagle,31,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Low-sodium,Outdoor,Wet,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Turmeric, Calendula, Coconut oil, Probiotics",Recovered
12866,10,Dachshund,31,Eye infections,None,None,Balanced,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Calendula, Coconut oil, Sulphur",Stable
12867,9,Labrador,26,Allergy to Penicillin,None,Heartworm Preventative,Low-sodium,Outdoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Sulphur, Aloe vera gel, Probiotics",Stable
12868,10,Poodle,10,Allergy to Penicillin,None,Insulin,Hypoallergenic,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Lavender oil, Omega-3, Chamomile",Recovered
12869,6,Poodle,21,None,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Aloe vera gel, Coconut oil, Turmeric",Stable
12870,7,Chihuahua,8,Eye infections,Dermatitis,Insulin,High-protein,Active,Dry,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Ketoconazole,"Calendula, Turmeric, Probiotics",Improved
12871,15,Bulldog,27,Skin allergies,Fungal susceptibility,Insulin,Grain-free,Outdoor,Dry,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Probiotics, Turmeric, Coconut oil, Aloe vera gel",Improved
12872,2,Cocker Spaniel,25,Eye infections,Dermatitis,None,Grain-free,Indoor,Wet,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Omega-3, Lavender oil, Aloe vera gel",Stable
12873,1,Bulldog,9,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Hypoallergenic,Indoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Lavender oil, Aloe vera gel, Probiotics",Improved
12874,7,Beagle,8,Skin allergies,Dermatitis,Insulin,Hypoallergenic,Indoor,Cold,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Probiotics, Coconut oil, Sulphur",Improved
12875,12,Cocker Spaniel,10,None,Dermatitis,Insulin,High-protein,Active,Cold,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Aloe vera gel, Turmeric, Coconut oil, Probiotics",Recovered
12876,3,Dachshund,25,Allergy to Penicillin,Fungal susceptibility,Insulin,Grain-free,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Coconut oil, Aloe vera gel, Turmeric, Probiotics",Improved
12877,11,German Shepherd,17,None,None,Insulin,High-protein,Outdoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Turmeric, Probiotics, Aloe vera gel",Stable
12878,7,Chihuahua,39,None,None,None,Grain-free,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Aloe vera gel, Chamomile, Omega-3",Stable
12879,10,Poodle,11,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Balanced,Indoor,Temperate,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Coconut oil, Probiotics, Turmeric",Stable
12880,15,Chihuahua,37,Eye infections,Dermatitis,Antihistamines,High-protein,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Probiotics, Chamomile, Aloe vera gel",Stable
12881,5,Golden Retriever,19,Allergy to Penicillin,None,Antihistamines,Low-sodium,Active,Humid,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Probiotics, Coconut oil, Turmeric",Recovered
12882,4,Cocker Spaniel,27,Allergy to Penicillin,Dermatitis,Beta-blockers,High-protein,Indoor,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Probiotics, Coconut oil, Calendula, Aloe vera gel",Recovered
12883,3,Beagle,7,Eye infections,None,Antihistamines,Low-sodium,Indoor,Dry,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Calendula, Tea tree oil, Probiotics, Turmeric",Stable
12884,12,Labrador,8,Allergy to Penicillin,None,Heartworm Preventative,High-protein,Indoor,Temperate,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Omega-3, Lavender oil",Recovered
12885,14,Cocker Spaniel,36,Allergy to Penicillin,None,Antihistamines,High-protein,Outdoor,Cold,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Tea tree oil, Turmeric, Coconut oil, Probiotics",Improved
12886,7,Chihuahua,23,Skin allergies,None,Beta-blockers,High-protein,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Lavender oil, Aloe vera gel, Chamomile, Omega-3",Recovered
12887,6,Dachshund,11,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,High-protein,Active,Dry,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Coconut oil, Aloe vera gel, Calendula",Recovered
12888,7,Dachshund,22,None,Dermatitis,Antihistamines,Balanced,Active,Wet,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,Cephalexin,"Turmeric, Coconut oil, Calendula",Stable
12889,7,German Shepherd,13,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Dry,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Probiotics, Tea tree oil, Turmeric",Recovered
12890,13,Cocker Spaniel,25,None,Fungal susceptibility,Insulin,High-protein,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Coconut oil, Turmeric, Tea tree oil",Improved
12891,14,German Shepherd,11,Allergy to Penicillin,Dermatitis,Antihistamines,Low-sodium,Outdoor,Wet,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Lavender oil, Aloe vera gel, Probiotics",Improved
12892,12,German Shepherd,31,Skin allergies,None,None,Hypoallergenic,Outdoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Cephalexin,"Aloe vera gel, Probiotics, Coconut oil",Recovered
12893,3,Golden Retriever,36,Eye infections,Dermatitis,Beta-blockers,Grain-free,Active,Wet,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,Cephalexin,"Probiotics, Lavender oil, Omega-3",Improved
12894,13,Golden Retriever,34,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,High-protein,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Turmeric, Probiotics, Coconut oil",Improved
12895,14,Chihuahua,27,Allergy to Penicillin,None,Antihistamines,Low-sodium,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Aloe vera gel, Sulphur, Calendula, Coconut oil",Improved
12896,8,Poodle,11,Eye infections,Fungal susceptibility,Beta-blockers,High-protein,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Turmeric, Aloe vera gel, Calendula",Stable
12897,2,Beagle,29,None,None,Heartworm Preventative,High-protein,Active,Cold,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Initial,Amoxicillin,"Probiotics, Calendula, Turmeric",Stable
12898,13,Dachshund,10,Allergy to Penicillin,None,Heartworm Preventative,Low-sodium,Active,Dry,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Omega-3, Probiotics, Lavender oil",Stable
12899,9,Golden Retriever,22,Eye infections,None,None,Balanced,Indoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Probiotics, Calendula, Turmeric, Aloe vera gel",Recovered
12900,7,Golden Retriever,32,Eye infections,None,None,Low-sodium,Indoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Amoxicillin,"Coconut oil, Aloe vera gel, Calendula, Probiotics",Stable
12901,9,Chihuahua,34,Allergy to Penicillin,None,Insulin,Hypoallergenic,Active,Wet,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,Amoxicillin,"Chamomile, Lavender oil, Aloe vera gel",Improved
12902,14,Cocker Spaniel,19,None,None,Beta-blockers,Balanced,Active,Temperate,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Itraconazole,"Calendula, Tea tree oil, Turmeric, Probiotics",Stable
12903,8,Bulldog,38,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Low-sodium,Indoor,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Probiotics, Lavender oil, Chamomile",Stable
12904,4,Labrador,14,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Low-sodium,Outdoor,Dry,Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Fluconazole,"Coconut oil, Turmeric, Probiotics",Stable
12905,6,Poodle,15,None,Fungal susceptibility,Insulin,Balanced,Indoor,Wet,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Coconut oil, Turmeric, Aloe vera gel",Improved
12906,12,Beagle,16,Skin allergies,Fungal susceptibility,Heartworm Preventative,High-protein,Indoor,Dry,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Probiotics, Coconut oil, Calendula",Stable
12907,6,German Shepherd,26,Allergy to Penicillin,None,Heartworm Preventative,High-protein,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Severe,Fluconazole,"Probiotics, Coconut oil, Tea tree oil, Turmeric",Recovered
12908,15,Chihuahua,35,None,Dermatitis,Antihistamines,Balanced,Active,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Severe,Cephalexin,"Calendula, Probiotics, Turmeric, Aloe vera gel",Improved
12909,12,Bulldog,31,None,Dermatitis,Beta-blockers,High-protein,Outdoor,Humid,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,Fluconazole,"Turmeric, Coconut oil, Probiotics, Calendula",Recovered
12910,3,Cocker Spaniel,39,Allergy to Penicillin,Dermatitis,None,Grain-free,Indoor,Humid,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Calendula, Coconut oil, Probiotics",Improved
12911,1,Poodle,18,Skin allergies,None,Antihistamines,Hypoallergenic,Active,Dry,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Calendula, Aloe vera gel, Sulphur",Recovered
12912,9,Beagle,32,None,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Temperate,Up-to-date,Neutered,Multi-pet,Fungal Infections,Initial,Itraconazole,"Calendula, Turmeric, Probiotics",Recovered
12913,3,Labrador,7,None,Fungal susceptibility,Beta-blockers,Low-sodium,Active,Cold,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Ketoconazole,"Turmeric, Calendula, Probiotics, Coconut oil",Stable
12914,13,Chihuahua,9,Eye infections,Fungal susceptibility,Insulin,High-protein,Indoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Calendula, Aloe vera gel, Coconut oil, Sulphur",Recovered
12915,1,Beagle,12,Allergy to Penicillin,None,Insulin,Low-sodium,Outdoor,Dry,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Lavender oil, Probiotics, Aloe vera gel",Improved
12916,5,Dachshund,15,Eye infections,None,Antihistamines,Grain-free,Indoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
12917,8,Chihuahua,36,None,Dermatitis,Heartworm Preventative,Balanced,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Probiotics, Chamomile, Lavender oil, Omega-3",Stable
12918,8,Poodle,37,Allergy to Penicillin,None,Heartworm Preventative,Grain-free,Outdoor,Humid,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Coconut oil, Calendula, Aloe vera gel, Probiotics",Recovered
12919,15,German Shepherd,15,None,Dermatitis,Insulin,Hypoallergenic,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,Itraconazole,"Turmeric, Probiotics, Calendula",Recovered
12920,15,Bulldog,10,Eye infections,Dermatitis,Antihistamines,High-protein,Outdoor,Temperate,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,Amoxicillin,"Aloe vera gel, Probiotics, Coconut oil, Turmeric",Recovered
12921,1,Bulldog,17,Eye infections,Dermatitis,Antihistamines,Low-sodium,Active,Temperate,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Cephalexin,"Sulphur, Probiotics, Coconut oil",Improved
12922,5,Cocker Spaniel,19,Eye infections,Dermatitis,Insulin,Hypoallergenic,Active,Humid,Not Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Omega-3, Chamomile, Probiotics, Aloe vera gel",Recovered
12923,13,German Shepherd,10,Eye infections,None,None,Grain-free,Active,Wet,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,Itraconazole,"Tea tree oil, Turmeric, Calendula, Probiotics",Stable
12924,6,Poodle,26,None,None,Heartworm Preventative,High-protein,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,Cephalexin,"Probiotics, Calendula, Aloe vera gel, Coconut oil",Stable
12925,6,German Shepherd,39,Eye infections,Dermatitis,Insulin,Balanced,Indoor,Temperate,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,Cephalexin,"Coconut oil, Probiotics, Aloe vera gel",Recovered
12926,12,Beagle,40,Eye infections,Fungal susceptibility,Antihistamines,Low-sodium,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Chamomile, Lavender oil, Omega-3, Probiotics",Improved
12927,14,Chihuahua,28,None,None,Insulin,High-protein,Outdoor,Wet,Not Up-to-date,Neutered,Single-pet,Staph Infection,Initial,Amoxicillin,"Aloe vera gel, Sulphur, Coconut oil",Improved
12928,4,Labrador,35,Allergy to Penicillin,Dermatitis,Insulin,Grain-free,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Initial,Amoxicillin,"Coconut oil, Calendula, Probiotics",Recovered
12929,7,Bulldog,8,Allergy to Penicillin,Dermatitis,None,Grain-free,Outdoor,Wet,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,Cephalexin,"Probiotics, Calendula, Turmeric, Coconut oil",Stable
12930,9,Beagle,38,None,Fungal susceptibility,Beta-blockers,Balanced,Outdoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Sulphur, Calendula, Probiotics, Coconut oil",Stable
12931,9,Golden Retriever,23,Allergy to Penicillin,Dermatitis,Heartworm Preventative,High-protein,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Chamomile, Omega-3, Aloe vera gel, Lavender oil",Stable
12932,13,Bulldog,37,Skin allergies,Dermatitis,Beta-blockers,High-protein,Active,Dry,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Aloe vera gel, Chamomile, Probiotics, Lavender oil",Stable
12933,11,Golden Retriever,12,Skin allergies,None,Antihistamines,Grain-free,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,Amoxicillin,"Chamomile, Omega-3, Aloe vera gel, Probiotics",Recovered
12934,10,Dachshund,28,Skin allergies,None,Beta-blockers,Grain-free,Indoor,Cold,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Calendula, Sulphur, Aloe vera gel, Coconut oil",Recovered
12935,7,Bulldog,28,Allergy to Penicillin,None,Antihistamines,Balanced,Active,Dry,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,Itraconazole,"Turmeric, Calendula, Probiotics",Stable
12936,4,Golden Retriever,9,Skin allergies,None,Insulin,Low-sodium,Outdoor,Cold,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,Itraconazole,"Coconut oil, Probiotics, Turmeric, Calendula",Improved
12937,14,Golden Retriever,9,None,Fungal susceptibility,Beta-blockers,Balanced,Active,Wet,Up-to-date,Neutered,Single-pet,Staph Infection,Severe,Cephalexin,"Calendula, Sulphur, Aloe vera gel, Probiotics",Improved
12938,9,German Shepherd,21,Eye infections,Fungal susceptibility,None,Balanced,Indoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,Cephalexin,"Omega-3, Lavender oil, Chamomile, Aloe vera gel",Stable
