Case ID,Breed,Age,Weight,Medical History,Genetic Predispositions,Current Medications,Diet,Lifestyle,Environment,Vaccination Status,Neutering Status,Living Conditions,Disease,Stage,Severity Score,Symptom Count,Previous Treatment,Previous Treatment Response,Treatments Tried Count,Drug Allergies,Drug Interaction Risk,Cost Category,Availability Status,Conventional Treatment,Natural Remedies,Outcome
894,Bulldog,9.7,31.5,Eye infections,Dermatitis,Heartworm Preventative,Balanced,Indoor,Cold,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Moderate,89,5,,,0,,Low,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
895,Shih Tzu,1.5,26.9,Skin allergies,Fungal susceptibility,Insulin,High-protein,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Severe,45,3,,,0,"Penicillin, Ketoconazole",Medium,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
896,Border Collie,2.7,37.4,Skin allergies,,Beta-blockers,Low-sodium,Active,Tropical,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Moderate,50,5,Cephalexin,Partial,2,Penicillin,Low,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
897,Cocker Spaniel,7.9,34.7,,Dermatitis,Antihistamines,Hypoallergenic,Indoor,Tropical,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,81,5,Fluconazole,Success,3,Cephalexin,Medium,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
898,Golden Retriever,1.1,6.1,Allergy to Penicillin,,,High-protein,Indoor,Dry,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,38,8,Itraconazole,Partial,2,,Low,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
899,Border Collie,10.9,5.5,,Fungal susceptibility,,Hypoallergenic,Indoor,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,14,1,Cephalexin,Success,3,,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
900,Labrador,1.5,2.6,Allergy to Penicillin,,Antihistamines,Hypoallergenic,Indoor,Wet,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,31,1,Fluconazole,Partial,2,Cephalexin,Low,Expensive,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
901,Rottweiler,14.4,37.4,Eye infections,Fungal susceptibility,Insulin,Grain-free,Outdoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,31,3,,,0,,Medium,Affordable,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
902,Golden Retriever,5.6,16.2,Skin allergies,Dermatitis,Heartworm Preventative,Hypoallergenic,Indoor,Tropical,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,14,8,,,0,,High,Moderate,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
903,Boxer,5.6,39.2,Allergy to Penicillin,,Antihistamines,Grain-free,Indoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,29,7,Ketoconazole,Success,3,"Penicillin, Ketoconazole",High,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
904,Shih Tzu,10.1,10.9,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Low-sodium,Outdoor,Humid,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Moderate,26,3,,,0,Cephalexin,Low,Affordable,Out of Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
905,Cocker Spaniel,3.0,6.7,,Fungal susceptibility,,Low-sodium,Outdoor,Cold,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,55,7,,,0,Cephalexin,High,Moderate,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Stable
906,Chihuahua,10.1,38.7,Allergy to Penicillin,,Insulin,Grain-free,Indoor,Dry,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,45,2,Fluconazole,Adverse Reaction,3,,Low,Expensive,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
907,Labrador,4.3,3.0,Eye infections,Dermatitis,Heartworm Preventative,High-protein,Active,Temperate,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Moderate,59,2,,,0,"Penicillin, Cephalexin",Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
908,Boxer,1.7,48.5,,,,Hypoallergenic,Indoor,Humid,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,64,5,,,0,Penicillin,Medium,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
909,Beagle,4.8,38.9,Allergy to Penicillin,Fungal susceptibility,Insulin,Hypoallergenic,Indoor,Temperate,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Moderate,31,7,,,0,,Low,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
910,Rottweiler,9.6,20.3,,,Beta-blockers,Balanced,Indoor,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,61,1,Amoxicillin,Adverse Reaction,1,,Medium,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
911,Shih Tzu,3.5,7.8,Eye infections,,Insulin,High-protein,Active,Temperate,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Moderate,40,4,,,0,,High,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
912,Labrador,9.4,39.2,Allergy to Penicillin,Dermatitis,Beta-blockers,Grain-free,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,15,3,Fluconazole,Partial,1,Penicillin,Medium,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
913,Dachshund,9.8,27.5,,Fungal susceptibility,,Balanced,Indoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,73,7,,,0,Ketoconazole,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
914,Border Collie,1.1,48.5,Skin allergies,Dermatitis,,Hypoallergenic,Outdoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Moderate,99,4,Itraconazole,Partial,3,,High,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
915,Border Collie,12.1,16.1,Skin allergies,,Antihistamines,High-protein,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,32,6,Itraconazole,Partial,2,Cephalexin,Medium,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
916,Boxer,14.7,30.9,Skin allergies,Fungal susceptibility,Antihistamines,Low-sodium,Active,Cold,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Severe,41,5,,,0,,Medium,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
917,Siberian Husky,8.9,37.9,Skin allergies,,Beta-blockers,Low-sodium,Indoor,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,46,4,Fluconazole,Failure,2,,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
918,Bulldog,12.3,33.5,Eye infections,Fungal susceptibility,Insulin,Grain-free,Active,Dry,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,11,10,Amoxicillin,Success,1,,Medium,Moderate,Backorder,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
919,Poodle,2.4,18.2,Skin allergies,Fungal susceptibility,Insulin,Hypoallergenic,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,15,5,,,0,Ketoconazole,Medium,Affordable,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
920,Boxer,14.0,12.8,Eye infections,Fungal susceptibility,,Balanced,Indoor,Dry,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,69,6,,,0,,High,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
921,Beagle,5.9,22.7,Allergy to Penicillin,,Antihistamines,High-protein,Indoor,Wet,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,34,5,Amoxicillin,Adverse Reaction,1,,Low,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
922,Poodle,6.9,31.4,Allergy to Penicillin,,Heartworm Preventative,Balanced,Indoor,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Moderate,62,4,Itraconazole,Partial,1,,High,Expensive,Limited,Itraconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Stable
923,Yorkshire Terrier,14.2,13.6,,,Antihistamines,Hypoallergenic,Active,Dry,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Mild,93,2,,,0,,Medium,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
924,Golden Retriever,2.3,11.5,Eye infections,Dermatitis,,Grain-free,Indoor,Wet,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Moderate,64,7,,,0,Ketoconazole,High,Affordable,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Recovered
925,German Shepherd,13.4,33.0,Eye infections,Fungal susceptibility,Heartworm Preventative,Balanced,Indoor,Temperate,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Mild,36,1,Itraconazole,Success,2,Cephalexin,High,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
926,Border Collie,4.6,41.2,,Dermatitis,Insulin,Grain-free,Outdoor,Wet,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Mild,45,6,,,0,Penicillin,Low,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
927,German Shepherd,13.0,42.6,Eye infections,,Heartworm Preventative,Hypoallergenic,Active,Tropical,Up-to-date,Neutered,Multi-pet,Staph Infection,Initial,84,1,,,0,Cephalexin,High,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
928,Border Collie,13.8,14.1,Skin allergies,,Insulin,High-protein,Outdoor,Dry,Not Up-to-date,Neutered,Multi-pet,Staph Infection,Moderate,43,7,,,0,"Penicillin, Ketoconazole",Low,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
929,Beagle,11.4,24.1,Eye infections,Fungal susceptibility,Insulin,Grain-free,Active,Humid,Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,50,10,,,0,"Penicillin, Ketoconazole",Medium,Moderate,Limited,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
930,Golden Retriever,12.7,37.0,Eye infections,,Insulin,Grain-free,Active,Tropical,Not Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Mild,20,2,Ketoconazole,Adverse Reaction,2,,High,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
931,Boxer,11.8,33.5,,Fungal susceptibility,,High-protein,Indoor,Humid,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Moderate,23,10,,,0,,High,Moderate,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Stable
932,Border Collie,3.1,28.2,,Dermatitis,,Grain-free,Indoor,Tropical,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Mild,81,8,Cephalexin,Adverse Reaction,2,Penicillin,Low,Moderate,Backorder,Ketoconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
933,Border Collie,14.8,47.0,Allergy to Penicillin,,Heartworm Preventative,Balanced,Active,Wet,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,66,1,Ketoconazole,Success,3,"Penicillin, Ketoconazole",Medium,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
934,Chihuahua,1.1,9.9,Skin allergies,Fungal susceptibility,Insulin,Low-sodium,Active,Cold,Up-to-date,Not Neutered,Single-pet,Staph Infection,Severe,42,10,Cephalexin,Adverse Reaction,2,,Medium,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
935,Dachshund,2.4,36.8,Allergy to Penicillin,Dermatitis,Beta-blockers,Grain-free,Indoor,Cold,Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Severe,54,9,Fluconazole,Success,3,"Penicillin, Ketoconazole",Low,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
936,Labrador,12.4,12.2,Skin allergies,Dermatitis,Heartworm Preventative,Balanced,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Severe,41,8,,,0,,High,Moderate,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Stable
937,Shih Tzu,7.8,42.4,Eye infections,,Insulin,High-protein,Indoor,Cold,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Mild,36,2,,,0,"Penicillin, Ketoconazole",Low,Affordable,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
938,Cocker Spaniel,11.1,28.0,Eye infections,Fungal susceptibility,Heartworm Preventative,Balanced,Active,Temperate,Up-to-date,Neutered,Single-pet,Fungal Infections,Initial,57,5,,,0,,Low,Expensive,Backorder,Itraconazole,"Coconut oil, Tea tree oil, Probiotics, Calendula",Improved
939,Cocker Spaniel,9.1,26.4,Allergy to Penicillin,Fungal susceptibility,Insulin,High-protein,Outdoor,Temperate,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,59,5,,,0,,High,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
940,Boxer,4.8,29.1,Allergy to Penicillin,Dermatitis,Antihistamines,High-protein,Indoor,Cold,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,49,2,,,0,,Low,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
941,Boxer,10.5,43.9,Eye infections,Fungal susceptibility,Insulin,Grain-free,Indoor,Temperate,Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Initial,15,5,Fluconazole,Success,1,"Penicillin, Cephalexin",Low,Moderate,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
942,Yorkshire Terrier,9.7,38.5,Allergy to Penicillin,Fungal susceptibility,Antihistamines,Low-sodium,Active,Cold,Up-to-date,Neutered,Single-pet,Bacterial Dermatosis,Initial,17,4,Cephalexin,Success,1,,Low,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
943,German Shepherd,2.8,24.2,Skin allergies,,Antihistamines,High-protein,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,44,4,,,0,,High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
944,Siberian Husky,0.6,13.8,Eye infections,Dermatitis,Antihistamines,Grain-free,Active,Wet,Up-to-date,Neutered,Multi-pet,Staph Infection,Severe,30,8,,,0,,Low,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
945,Boxer,11.0,49.6,Allergy to Penicillin,Fungal susceptibility,Heartworm Preventative,Grain-free,Outdoor,Humid,Up-to-date,Not Neutered,Single-pet,Staph Infection,Mild,60,8,,,0,Ketoconazole,Low,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
946,Cocker Spaniel,1.9,21.3,Eye infections,,Heartworm Preventative,Low-sodium,Indoor,Temperate,Up-to-date,Not Neutered,Single-pet,Staph Infection,Initial,77,8,Itraconazole,Failure,2,Penicillin,Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
947,German Shepherd,12.1,11.8,,Fungal susceptibility,Antihistamines,Low-sodium,Indoor,Dry,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,87,8,Amoxicillin,Adverse Reaction,3,,High,Expensive,Out of Stock,Itraconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
948,Dachshund,8.5,37.2,Eye infections,Fungal susceptibility,,Grain-free,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Staph Infection,Mild,88,6,Itraconazole,Failure,2,,Medium,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
949,Golden Retriever,9.4,11.0,Allergy to Penicillin,Fungal susceptibility,,High-protein,Active,Cold,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Severe,28,10,,,0,,Medium,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
950,Dachshund,5.7,39.6,,Fungal susceptibility,,Low-sodium,Active,Humid,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,61,5,Ketoconazole,Success,3,"Penicillin, Ketoconazole",Medium,Moderate,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
951,Yorkshire Terrier,8.5,2.3,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,Grain-free,Outdoor,Dry,Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,47,6,Ketoconazole,Success,3,"Penicillin, Ketoconazole",Medium,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
952,German Shepherd,11.5,3.7,Allergy to Penicillin,,Insulin,Balanced,Outdoor,Humid,Not Up-to-date,Neutered,Single-pet,Fungal Infections,Moderate,78,5,Amoxicillin,Success,1,,High,Affordable,Backorder,Fluconazole,"Probiotics, Omega-3, Coconut oil, Tea tree oil, Calendula",Stable
953,Cocker Spaniel,11.3,11.7,Eye infections,Fungal susceptibility,Antihistamines,High-protein,Outdoor,Dry,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,29,8,,,0,,Low,Affordable,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
954,Beagle,14.4,19.7,Allergy to Penicillin,Fungal susceptibility,Insulin,Balanced,Active,Wet,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,47,2,,,0,,Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
955,Boxer,5.2,9.1,,Fungal susceptibility,Insulin,Balanced,Active,Temperate,Not Up-to-date,Neutered,Multi-pet,Bacterial Dermatosis,Initial,24,4,,,0,,Low,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
956,Border Collie,4.9,44.1,Skin allergies,Dermatitis,Beta-blockers,Grain-free,Active,Wet,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,64,9,Cephalexin,Failure,2,,Medium,Affordable,Out of Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
957,Beagle,14.9,19.7,Skin allergies,Fungal susceptibility,Antihistamines,High-protein,Outdoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,25,10,Fluconazole,Success,3,Cephalexin,Medium,Moderate,Backorder,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Improved
958,Golden Retriever,7.0,36.7,Skin allergies,Fungal susceptibility,Beta-blockers,Hypoallergenic,Active,Tropical,Not Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Mild,78,4,,,0,Ketoconazole,Low,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
959,Siberian Husky,13.3,30.5,,,Heartworm Preventative,High-protein,Indoor,Dry,Up-to-date,Neutered,Single-pet,Staph Infection,Mild,91,3,Itraconazole,Success,1,,High,Moderate,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
960,German Shepherd,6.2,21.8,Skin allergies,,Beta-blockers,Grain-free,Active,Cold,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,57,10,Ketoconazole,Success,1,Penicillin,Medium,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
961,Dachshund,10.6,2.2,Allergy to Penicillin,Dermatitis,Beta-blockers,High-protein,Indoor,Cold,Up-to-date,Not Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,77,5,Fluconazole,Partial,3,Ketoconazole,Low,Moderate,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Recovered
962,Beagle,9.5,19.1,Eye infections,Dermatitis,Antihistamines,Low-sodium,Indoor,Tropical,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,18,4,,,0,"Penicillin, Ketoconazole",Low,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
963,Dachshund,12.0,6.5,Eye infections,Fungal susceptibility,,Hypoallergenic,Indoor,Humid,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Severe,33,6,Itraconazole,Partial,1,,Medium,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
964,Siberian Husky,9.0,25.1,Eye infections,Dermatitis,Antihistamines,Balanced,Indoor,Wet,Up-to-date,Not Neutered,Multi-pet,Staph Infection,Mild,47,5,Itraconazole,Partial,3,,Low,Expensive,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
965,Golden Retriever,9.8,5.1,Eye infections,,Insulin,Grain-free,Active,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,16,10,,,0,,Low,Expensive,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
966,Boxer,8.9,29.0,Skin allergies,Dermatitis,Heartworm Preventative,Low-sodium,Indoor,Wet,Up-to-date,Not Neutered,Single-pet,Bacterial Dermatosis,Initial,79,10,Cephalexin,Partial,2,,Medium,Expensive,Backorder,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Stable
967,Boxer,8.6,31.0,Allergy to Penicillin,Fungal susceptibility,Beta-blockers,High-protein,Indoor,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Mild,76,2,Amoxicillin,Partial,1,,High,Expensive,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
968,Cocker Spaniel,10.3,40.6,Eye infections,Fungal susceptibility,Antihistamines,High-protein,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,22,5,Cephalexin,Partial,2,,High,Affordable,In Stock,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Recovered
969,Rottweiler,4.4,41.6,,,Antihistamines,Low-sodium,Outdoor,Humid,Up-to-date,Neutered,Single-pet,Staph Infection,Initial,45,6,,,0,,Low,Expensive,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Recovered
970,Dachshund,7.7,5.7,Allergy to Penicillin,Fungal susceptibility,,Hypoallergenic,Outdoor,Tropical,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Moderate,21,6,Itraconazole,Success,1,,High,Moderate,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Stable
971,Bulldog,1.3,18.0,,Fungal susceptibility,,Balanced,Active,Tropical,Up-to-date,Neutered,Single-pet,Fungal Infections,Severe,49,3,Cephalexin,Success,1,,High,Affordable,Backorder,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Recovered
972,Yorkshire Terrier,11.9,36.0,,,Beta-blockers,Hypoallergenic,Indoor,Tropical,Not Up-to-date,Neutered,Multi-pet,Fungal Infections,Severe,18,6,,,0,,High,Moderate,Out of Stock,Ketoconazole,"Coconut oil, Tea tree oil, Calendula",Improved
973,German Shepherd,11.9,26.8,Allergy to Penicillin,,Heartworm Preventative,Hypoallergenic,Active,Dry,Not Up-to-date,Neutered,Single-pet,Hypersensitivity Allergic Dermatosis,Mild,89,1,,,0,,High,Moderate,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
974,Rottweiler,6.9,9.1,Skin allergies,Dermatitis,Heartworm Preventative,Balanced,Active,Cold,Not Up-to-date,Not Neutered,Single-pet,Staph Infection,Mild,55,6,Fluconazole,Failure,2,,High,Affordable,Out of Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
975,Dachshund,5.3,22.8,Eye infections,Dermatitis,,Grain-free,Active,Wet,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,41,5,Fluconazole,Adverse Reaction,2,Penicillin,Low,Affordable,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Stable
976,Siberian Husky,1.8,12.6,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Hypoallergenic,Active,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,25,1,Itraconazole,Success,1,"Penicillin, Ketoconazole",Medium,Affordable,Limited,Cephalexin,"Probiotics, Aloe vera gel, Chamomile",Improved
977,Poodle,9.2,37.3,Allergy to Penicillin,,Antihistamines,Balanced,Outdoor,Dry,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Mild,85,6,,,0,,High,Moderate,In Stock,Cephalexin,"Probiotics, Aloe vera gel, Omega-3, Chamomile",Improved
978,Siberian Husky,15.0,46.8,,Fungal susceptibility,Heartworm Preventative,Grain-free,Active,Wet,Not Up-to-date,Not Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Moderate,24,4,,,0,,High,Expensive,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
979,Labrador,9.8,22.2,Allergy to Penicillin,Dermatitis,Heartworm Preventative,Balanced,Active,Humid,Up-to-date,Neutered,Multi-pet,Hypersensitivity Allergic Dermatosis,Initial,35,5,,,0,,High,Affordable,Limited,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Improved
980,Dachshund,9.7,39.7,Skin allergies,Fungal susceptibility,Heartworm Preventative,Grain-free,Indoor,Humid,Not Up-to-date,Not Neutered,Multi-pet,Bacterial Dermatosis,Moderate,22,4,,,0,,High,Affordable,Backorder,Amoxicillin,"Probiotics, Aloe vera gel, Chamomile",Stable
981,Yorkshire Terrier,2.2,21.7,Allergy to Penicillin,,Heartworm Preventative,Low-sodium,Indoor,Humid,Up-to-date,Not Neutered,Multi-pet,Fungal Infections,Initial,43,2,Amoxicillin,Partial,1,,Medium,Moderate,Out of Stock,Itraconazole,"Coconut oil, Tea tree oil, Calendula",Improved
982,Shih Tzu,12.7,20.4,Skin allergies,,,Balanced,Active,Dry,Not Up-to-date,Not Neutered,Single-pet,Fungal Infections,Mild,44,6,Amoxicillin,Adverse Reaction,3,,High,Expensive,Backorder,Fluconazole,"Coconut oil, Tea tree oil, Calendula",Stable
